fullname,postQ2Choice,explanation2,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestable,Easier memorization / Recall,Felt more natural,One page,Multiple pages,Readability,Equal,Linearity,Initial learning of content,Final review of content
3,H,More information in each section that is easy to reference,0,0,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
5,H,"As a learner, I tend to need more context before I frame a situation in my head. I'm a visual learner, so when I read a paragraph it's stuff that I'm imagining that helps me remember. The smaller text blocks deprive from of that understanding. Also I believe there is some merit to a Horizontal flowing chart over a vertical one as that seemed to make me more comfortable.",0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0
7,H,The second passage was much easier to comprehend and took much less time to read.,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
9,K,"In the passage 1, the necessary knowledge is easily listed.",0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
11,K,More so the first because it seemed quicker to find what I was looking for versus reading a whole paragraph to find one line of information.,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Both,"Both of them taught me what I needed to know in order to answer the questions. The navigation of each was different, but I learned the same amount from both.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
15,K,"When reading Passage 1, it was easier to find the information required for the questions asked during that task. When reading Passage 2, I felt as though I had to read through the entire paragraph a few times to find the exact right piece of information I was looking for.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Both,I think my reference might be different depending on the material or discipline.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,H,"I feel like dividing information into concise chunks of text is a lot more beneficial for my academic learning than having a huge web of information. It was much easier to follow Passage 2. In addition, I think Passage 2 did a better job of explaining the information because the explanation was included in the same chunk of text while in Passage 1 I had to follow the arrows and look for the explanation. Passage 1 also didn't go into as much depth as Passage 2.",0,H,0,0,0,0,0,H,0,H,H,0,H,0,0,0,0,0,0,0,0,0,0,0
23,H,It's more clear and less energy-consuming.,0,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
25,K,I found passage 2 more helpful because it was easier to maneuver. Passage 1 seemed a bit overwhelming.,0,0,0,K,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,H,,,,,,,,,,,,,,,,,,,,,,,0,0,0
29,H,"For learning purposes, it's generally easier for me to remember things if they're easy to interpret. In this case, Passage 1 was just more cohesive to me.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,0
31,H,"The representation of passage 2 allows me to comprehend and process information with grouped, connected concepts in a more linear way.",0,0,0,0,0,0,0,0,0,H,0,0,H,H,0,0,0,0,0,0,0,H,0,0
33,H,"I'm used to passages as opposed to webs of information. In passage one, sentences/facts were broken up over different circles and I had to keep going between different pages to find the information. There was a much clearer format in passage 2",0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,H,H,0,0,0,0,0,0
39,Both,I think both presented information in an engaging way. Sort of made reading like a game.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
41,K,"Since it's easier to read, it's a lot easier to digest the information that one might need for their academic learning.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,K,0,0,0,0
43,H,"Passage 1 included more detailed descriptions of important concepts, which made it easier for me to understand the topic.",0,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0
45,H,It was easier to navigate and remember what I was reading because I could take in a chunk of information at a time rather than having to move around the page a lot just to read a few words at a time,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
49,H,,,,,,,,,,,,,,,,,,,,,,,0,0,0
51,H,"Passage 2 more clearly explained the ideas it was trying to convey. It was easier to follow and see how different concepts connected. Also, the more linear organization of passage 2 made it easier to see the progression of ides and it was easier to refer back to it when I couldn't remember something.",0,0,0,0,0,0,0,0,0,H,0,H,H,0,0,0,0,0,0,0,0,H,0,0
53,K,Because it's good for brevity and more concise as opposed to reading long paragraphs in a textbook,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,H,"Because it explains the topic in a summarized way, and clearly delineates the subtopics and their purposes to the main study.",0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0
57,H,It was easier for me to follow and find details.,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0,0,0
59,H,This format separates information into categories with headers that can be easily located when answering questions,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0
61,Both,"Passage 1 and Passage 2, while they use a different set of learning skills, both explain the context as well as various aspects of the subjects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
63,H,"It was easier to red, and I wasn't reading all over the place",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0
65,H,It was easier for me to retain information from Passage 1 than from Passage 2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
67,H,The first passage was the most helpful for an academic learning because I liked the formatting of mini passages. I also prefer my information laid all out from the start on a single page. This makes remembering the information easier and more effectively.,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,H,0,H,0,0,0,0,0,0
