userIndex,birthDate,cond2Start,createdAt,demoQsEnded,demoQsStart,education,ethnicity,gender,language,major,nullPassage,phase,condition,passage,pretestEnded,pretestScore,pretestScoreRatio,pretestTime,previewEnded,previewTime,session,recallEnded,recallScore,recallScoreRatio,recallCosineSim,recallStart,recallTime,recallreText,recallreGrade,recognitionEnded,recognitionScore,recognitionScoreRatio,recognitionTime,duration,postQ1Choice,postQ2Choice,postQsEnded,postQsStart,explanation1,explanation2
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,0,H2,The Hearing of the Barn Owl,2021/11/19 14:16:04,5,0.5,182,2021/11/19 14:12:31,111,1st,2021/11/19 14:52:56,23,0.16428571428571428,0.6051849619764329,2021/11/19 14:49:10,223,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",12,2021/11/19 14:25:39,10,1,568,42.021566666666665,H2,Neither,2021/11/19 14:49:10,2021/11/19 14:39:11,"While in general I find mapping more challenging as I am not a visual learner, I much preferred Passage 1 because it laid everything out in an organized flow, with many more details. Having to click back and forth in Passage 2, with very short and limited bits of information, was more challenging because it wasn't as easy to follow, nor did it feel as comprehensive. I felt like I learned much more, and had an easier time understanding the content, for Passage 1. ","In general, I do not tend toward visual mapping of information when studying or learning - I prefer blocks of text that follow one after the other (as opposed to linking up multiple things at once/having multiple arrows). I usually prefer written bullet or numbered outlines instead of maps. However, out of the two passages, I would say passage 1 would be preferable because there was much more comprehensive information included, and it was visually still on one page/in one representation, as opposed to clicking back and forth between multiple slides. I can see both being helpful in certain contexts (e.g. when explaining a psychological theory and talking about different conceptions, current research, and external factors), but for big blocks of information or breaking down an article, I tend not to find mapping as helpful - but I am not a visual learner, and I can see how it would be helpful for those who are. "
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,0,H2,The Hearing of the Barn Owl,2021/11/19 14:16:04,5,0.5,182,2021/11/19 14:12:31,111,2nd,2021/11/22 14:03:31,23,0.16428571428571428,0.5972145504583769,2021/11/22 14:00:58,151,"The barn owl hunts from the air, and so must locate sound both horizontally and vertically. While it has similar horizontal skill to humans, it is three times better at locating sound vertically. The barn owl is able to locate changes in sound on the ground (e.g. a mouse moving position) and is able to adjust its talons accordingly so that it can catch the prey - this is done through its neurons. It has a visually striking face designed with two long troughs down the face and fine feathers that allow sound to pass through. ",14,2021/11/22 14:04:29,10,1,55,13.3767,H2,Neither,2021/11/22 14:14:20,,"As it was all one on page, and more detailed, I felt it was more comprehensive and seamless, as opposed to jumping between links for information. The use of paragraphs was also more informative than simply using key words linked to other words and very small bits of information - it seemed like a more cursory overview. However, I am someone who prefers reading passages than just visual mapping, so I understand how the small bits of info may be helpful to others who are more visual. But for me, especially with the clicking back and forth between the pages and sections, I felt that passage 2 was harder to read.","For me personally, probably neither, as I find mapping harder to follow, as it breaks down visually into many different sections and I am not as much as visual learner. However, in general, if I had to pick one I would say Passage 1 because it provides more information, and I could see how it could be helpful when mapping the themes and elements of a story or looking at a theory and different conceptualizations/applications while also providing details and easier navigation. "
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,0,H2,The Hearing of the Barn Owl,2021/11/19 14:16:04,5,0.5,182,2021/11/19 14:12:31,111,3rd,2021/11/26 14:09:42,19,0.1357142857142857,0.538249203070308,2021/11/26 14:06:41,179,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",12,2021/11/26 14:10:37,10,1,52,17.0663,H2,Neither,2021/11/26 14:23:45,2021/11/26 14:16:01,"I still believe that Passage 1 was easier to read, as I think it was more detailed, but I would say that personally, neither format is my preferred approach, as I've stated before. But visually, Passage 1 was easier to understand and go through, instead of flipping to different links and then back. ","I am not an overly visual learner, so I wouldn't use either as my preferred format for learning; in actual academic learning, I tend to create vertical written outlines using bullet points that write out connections instead of visually demonstrating them. However, I would say that between the two, Passage 1's format would be more helpful in providing context and details. It also seems like I remembered more from Passage 1, so that indicates the first format might be better for studying for tests."
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,1,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2021/11/19 14:30:30,4,0.5,84,2021/11/19 14:29:03,179,1st,2021/11/19 14:55:21,18,0.45,0.5253226673579133,,138,"Dr. Wang assisted The National Zoo in developing a new panda habitat, that emphasized elements of their natural habitat, and the importance of conservation. The new habitat included groves and grottos and cooling rocks, as well as decision stations for visitors, so they could learn more about the economic and environmental challenges of conservation. In Chinese culture, pandas have been used for diplomacy, and are considered the physical representation of yin and yang. ",,2021/11/19 14:38:53,7,0.875,497,42.021566666666665,H2,Neither,2021/11/19 14:49:10,2021/11/19 14:39:11,"While in general I find mapping more challenging as I am not a visual learner, I much preferred Passage 1 because it laid everything out in an organized flow, with many more details. Having to click back and forth in Passage 2, with very short and limited bits of information, was more challenging because it wasn't as easy to follow, nor did it feel as comprehensive. I felt like I learned much more, and had an easier time understanding the content, for Passage 1. ","In general, I do not tend toward visual mapping of information when studying or learning - I prefer blocks of text that follow one after the other (as opposed to linking up multiple things at once/having multiple arrows). I usually prefer written bullet or numbered outlines instead of maps. However, out of the two passages, I would say passage 1 would be preferable because there was much more comprehensive information included, and it was visually still on one page/in one representation, as opposed to clicking back and forth between multiple slides. I can see both being helpful in certain contexts (e.g. when explaining a psychological theory and talking about different conceptions, current research, and external factors), but for big blocks of information or breaking down an article, I tend not to find mapping as helpful - but I am not a visual learner, and I can see how it would be helpful for those who are. "
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,1,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2021/11/19 14:30:30,4,0.5,84,2021/11/19 14:29:03,179,2nd,2021/11/22 14:07:49,16,0.4,0.5057080832780891,2021/11/22 14:04:36,190,"A panda conservationist and researcher helped the National Zoo design a new panda enclave that better-educated the public on panda habitats and conservation. It included fog groves, grottos, and decision stations where the public could engage in activities highlighting the environmental and economic difficulties of conservation. While some activists disapprove of zoos because they believe the money and focus should be on the environmental/habitat issues, many believe that zoos allow opportunities to educate the public and thereby emphasize the importance of conservation. Pandas are also very important to Chinese culture - they have been used as part of diplomatic engagements and are seen as the physical representation of yin and yang. ",,2021/11/22 14:08:47,6,0.75,56,13.3767,H2,Neither,2021/11/22 14:14:20,,"As it was all one on page, and more detailed, I felt it was more comprehensive and seamless, as opposed to jumping between links for information. The use of paragraphs was also more informative than simply using key words linked to other words and very small bits of information - it seemed like a more cursory overview. However, I am someone who prefers reading passages than just visual mapping, so I understand how the small bits of info may be helpful to others who are more visual. But for me, especially with the clicking back and forth between the pages and sections, I felt that passage 2 was harder to read.","For me personally, probably neither, as I find mapping harder to follow, as it breaks down visually into many different sections and I am not as much as visual learner. However, in general, if I had to pick one I would say Passage 1 because it provides more information, and I could see how it could be helpful when mapping the themes and elements of a story or looking at a theory and different conceptualizations/applications while also providing details and easier navigation. "
1,1996-04-11,2021/11/19 14:26:02,2021/11/13 20:25:22,2021/11/19 14:56:24,2021/11/19 14:55:21,"Bachelor's degree (BS, BA, BE, ...",White / Caucasian,Female,English,English Language and Literature,Silence of the Pikas,1,K2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2021/11/19 14:30:30,4,0.5,84,2021/11/19 14:29:03,179,3rd,2021/11/26 14:14:36,16,0.4,0.5515965421681194,2021/11/26 14:10:40,234,"The passage focused on Dr Wang and his work with the National Zoo in DC to redesign the panda enclosure to better educate the public about the panda's original habitat, and the importance of conservation. The new exhibit includes grottos and cooling stations, as well as decision stations that allow the public to understand the difficulty of making conservation decisions, especially the balancing of the economy and the environment. While some activists believe zoos spend too much money on breeding programs in captivity, instead of money on habitat conservation, Dr Wang believes these exhibits will help draw awareness to wild habitat destruction and the importance of environmental conservation. Additionally, the panda is an important aspect of Chinese culture - it is believed that its black and white coloring represents yin and yang, and pandas have even been used as part of diplomatic endeavors. ",,2021/11/26 14:15:36,6,0.75,57,17.0663,H2,Neither,2021/11/26 14:23:45,2021/11/26 14:16:01,"I still believe that Passage 1 was easier to read, as I think it was more detailed, but I would say that personally, neither format is my preferred approach, as I've stated before. But visually, Passage 1 was easier to understand and go through, instead of flipping to different links and then back. ","I am not an overly visual learner, so I wouldn't use either as my preferred format for learning; in actual academic learning, I tend to create vertical written outlines using bullet points that write out connections instead of visually demonstrating them. However, I would say that between the two, Passage 1's format would be more helpful in providing context and details. It also seems like I remembered more from Passage 1, so that indicates the first format might be better for studying for tests."
2,1997-05-15,2022/03/26 19:21:36,2022/03/25 03:55:41,2022/03/26 19:49:21,2022/03/26 19:48:27,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Jaws That Jump,0,K2,The Hearing of the Barn Owl,2022/03/26 19:11:41,2,0.2,160,2022/03/26 19:08:30,95,1st,2022/03/26 19:43:29,16,0.11428571428571428,0.5135290923015586,2022/03/26 19:38:25,299,"Barn owls use both horizontal and vertical sound to hunt for prey. 
They hunt from the air.
The feathers on their face help them amplify sounds. 
Their wings are longer in length than width.
Humans can hear as well horizontally, but barn owls have better vertical hearing. 
Their accuracy in hunting and killing prey makes barn owls deadly.
",,2022/03/26 19:21:06,8,0.8,556,39.272933333333334,K2,Both,2022/03/26 19:38:25,2022/03/26 19:36:38,"It categorized the information better and with more detail, making it easier to follow. ","They both bring the information together in a clearer way, and make it easier to make connections with the information."
2,1997-05-15,2022/03/26 19:21:36,2022/03/25 03:55:41,2022/03/26 19:49:21,2022/03/26 19:48:27,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Jaws That Jump,0,K2,The Hearing of the Barn Owl,2022/03/26 19:11:41,2,0.2,160,2022/03/26 19:08:30,95,2nd,2022/03/29 23:04:33,14,0.1,0.554339375285244,2022/03/29 23:00:00,270,"Barn owls track prey using both horizontal and longitudinal sound.
Barn owls have wings that are more long than they are wide.
The feathers on the face of barn owls help amplify sound.
The horizontal hearing of barn owls is about the same as the horizontal hearing of humans.
Barn owls hunt from the air.
The way barn owls hunt their prey is considered deadly because of their accuracy. 
",,2022/03/29 23:07:57,6,0.6,200,19.314966666666667,K2,K2,2022/03/29 23:19:19,,It made it easier to follow and connect various ideas and information related to the passage.,"I feel like I was able to retain the information better with the format of the first passage. However, I think that may be somewhat due to the short amount of time I had to look over the material. The way it was broken down made it easier for quick memorization, but I think I could learn more overall using the format for passage 2. 
"
2,1997-05-15,2022/03/26 19:21:36,2022/03/25 03:55:41,2022/03/26 19:49:21,2022/03/26 19:48:27,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Jaws That Jump,1,H2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2022/03/26 19:24:56,3,0.375,129,2022/03/26 19:22:44,67,1st,2022/03/26 19:48:27,9,0.225,0.5425417423365959,,288,"The purpose of putting pandas in conservation is to protect pandas from extinction
The researcher was joyed to be left with the pandas child, although it didn't help him with his work.
The panda exhibits attempted to replicate the environments that pandas normally live in.
Bao Bao has brought a lot of visitors to the zoo.  
",,2022/03/26 19:36:28,6,0.75,682,39.272933333333334,K2,Both,2022/03/26 19:38:25,2022/03/26 19:36:38,"It categorized the information better and with more detail, making it easier to follow. ","They both bring the information together in a clearer way, and make it easier to make connections with the information."
2,1997-05-15,2022/03/26 19:21:36,2022/03/25 03:55:41,2022/03/26 19:49:21,2022/03/26 19:48:27,Current undergraduate student,White / Caucasian,Female,English,Psychology,The Jaws That Jump,1,H2,Conservationist  and Diplomat: The Grey Areas of Panda Conservation,2022/03/26 19:24:56,3,0.375,129,2022/03/26 19:22:44,67,2nd,2022/03/29 23:13:05,8,0.2,0.5998389477893414,2022/03/29 23:08:05,297,"Pandas in conservation are being protected from extinction.
The scientist who studies pandas was once left to care after a pandas child, which brought him joy.
The new set up for the panda exhibit at the New York zoo was made to resemble the actual habitats of pandas in the wild.
The new panda exhibit was made to spread awareness of the destruction of panda habitats that may lead to their extinction.
",,2022/03/29 23:16:26,5,0.625,197,19.314966666666667,K2,K2,2022/03/29 23:19:19,,It made it easier to follow and connect various ideas and information related to the passage.,"I feel like I was able to retain the information better with the format of the first passage. However, I think that may be somewhat due to the short amount of time I had to look over the material. The way it was broken down made it easier for quick memorization, but I think I could learn more overall using the format for passage 2. 
"
