ParticipantID,BirthDate,Education,Institution,Ethnicity,Gender,Language,Major,Order,Condition,Passage,PassageType,PretestScore,PretestScoreRatio,PreviewTime,Session,Recall,RecallScoreRatio,RecallreText,RecognitionScore,RecognitionScoreRatio,Duration,Readability,Learnability,Feedback1,Feedback2
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,5,0.5,104,Immediately,14,0.1,The troughs are longer than they are wide. The right ear is tilted downwards and the left ear is tilted upwards to allow the owl to determine where a sound is coming from vertically. The scariest part of an owl is its face. An owl is 3x better than humans at hearing sounds horizontally. The midbrain of the owl is triggered by certain sounds.,8,0.8,25.888199999999998,Linear Text,Linear Text,Because it was easier to look at in terms of where to look next. It matched the format of most readings I have done up until now so I was much more used to it and felt more comfortable reading it. I was also able to get through it faster and follow along with the content more easily.,It is easier for someone to look back to for retrieving information. It is also easier to read in a more efficient manner allowing someone to re-read it multiple times if they need to memorize and learn it.
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,1,Linear Text,How to Watch Television,ACT Social Sciences,2,0.2222222222222222,64,Immediately,7,0.125,"""Talking hairdos"" refers to the value of appearance on tv news broadcasters. They will not hire people if they are not attractive enough for example they won't hire a man if he is bald or a woman if she is over 50.",6,0.6666666666666666,25.888199999999998,Linear Text,Linear Text,Because it was easier to look at in terms of where to look next. It matched the format of most readings I have done up until now so I was much more used to it and felt more comfortable reading it. I was also able to get through it faster and follow along with the content more easily.,It is easier for someone to look back to for retrieving information. It is also easier to read in a more efficient manner allowing someone to re-read it multiple times if they need to memorize and learn it.
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,0,Linear Text,How to Watch Television,ACT Social Sciences,2,0.2222222222222222,236,Immediately,14,0.25,"The statement ""Now... this"" is used when the information that is about to be presented is completely different from the previous segment. Television has become more of a means of entertainment, rather than an accurate portrayal of the news for several reasons. First, TV segments are very short and tend to lack connection between information presented. Next, television tends to relay news using ""talking hairdos"", which describes the use of conventionally attractive news anchors to present the information. This is problematic, as seen in the anecdote regarding Christine. Christine was originally hired as a news anchor, but was ultimately fired, as viewers did not find her attractive, and thus did not believe the information she was sharing was credible.",9,1,30.884,Linear Text,Linear Text,"It is easier to organize the information in my brain when the material is presented in the first format. When the paragraphs are spaced out, it becomes more difficult to organize my thoughts and remember the location of the information in the passage.","When the information is presented in a vertical orientation, the flow of the article is more natural and allows for greater comprehension because I can focus more on the information in the article instead of following arrows. When presented horizontally, I spend more mental energy focusing on which section to read next, rather than on reading comprehension."
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,0,Linear Text,How to Watch Television,ACT Social Sciences,2,0.2222222222222222,236,After 3 Days,12,0.21428571428571427,"Television has primarily become a source of entertainment, rather than a quality source of news. This is because news segments tend to be quick and disjointed and not meant to hold the attention of the viewers for long periods of time. News anchors are called ""talking hairdos"", as it has become more important for the anchors to be attractive than qualified in order to build credibility for the network. In fact, a news anchor named Christine was fired from her job after viewers complained about her attractiveness taking away from story credibility. The term ""now... this"" is meant to indicate that the next segment will be completely unrelated from the previous segment.",9,1,12.040883333333333,Linear Text,Linear Text,"Passage one was organized in a way that was easier to read due to the vertical format. It was easier to focus mental energy on reading and understanding the passage, rather than focusing on what to read next.","I find the vertical orientation of passage 1 to be more helpful for my academic learning because it was easier to mentally organize and store the information I read. I did not have to spend time skimming through sections disjointed and connected by arrows, so I could better focus on understanding and retaining the information."
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,0,Linear Text,How to Watch Television,ACT Social Sciences,2,0.2222222222222222,236,After 1 Week,12,0.21428571428571427,"The phrase ""Now... this"" tells the viewers that the information about to be presented is completely different from the previous segment. Television has become more of a source of entertainment rather than a reliable news source. News anchors are deemed trustworthy by their attractiveness, hence the nickname, ""talking hairdos"". This is demonstrated in the case of a woman named Christine, who was hired as a news anchor, only to be fired because viewers did not find her attractive, and thus did not find her to be a credible news source.",9,1,12.191316666666667,Linear Text,Linear Text,"Passage one was easier to read because I could focus my mental energy on understanding the material, rather than trying to select which segment to read next.","While reading passage one, I was able to read the passage easier in the vertical direction because the story seemed to flow better. I am used to that format and it made it easier for me to summarize and categorize main ideas as I read."
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,1,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,4,0.4,64,Immediately,30,0.21428571428571427,"Barn owls hunt from the air, which means they must make use of their incredible hearing, both azimuth (horizontal) and elevation (vertical) to hunt small ground animals. Barn owl hearing is very accurate and they can detect very subtle changes in sound, even changing the orientation of their talons as they swoop down to capture prey that may be changing direction. The most visually striking feature is the face and they have thin feathers that allow for sound transparency. Barn owls and humans have roughly equal abilities to recognize azimuth, but owls are three times more accurate than humans while hearing elevation. Individual neurons in the owls' brains recognize sounds coming from a very small area. Their troughs are roughly 2cm wide, but 9cm long.",10,1,30.884,Linear Text,Linear Text,"It is easier to organize the information in my brain when the material is presented in the first format. When the paragraphs are spaced out, it becomes more difficult to organize my thoughts and remember the location of the information in the passage.","When the information is presented in a vertical orientation, the flow of the article is more natural and allows for greater comprehension because I can focus more on the information in the article instead of following arrows. When presented horizontally, I spend more mental energy focusing on which section to read next, rather than on reading comprehension."
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,1,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,4,0.4,64,After 3 Days,25,0.17857142857142858,"Barn owls hunt from the air, requiring a very keen sense of hearing. This is demonstrated by both their ability to hear in azimuth (horizontal direction) and in elevation (vertical direction). In fact, barn owls and humans can hear about the same in azimuth, but their elevation hearing is three times better than human elevation hearing. Owls have neurons that correspond to specific locations in space. Their face is their most striking feature. They have troughs that are 2cm wide and 9cm long. They can change the direction of their talons to match the orientation of the prey they are swooping down to catch, making them deadly predators.",10,1,12.040883333333333,Linear Text,Linear Text,"Passage one was organized in a way that was easier to read due to the vertical format. It was easier to focus mental energy on reading and understanding the passage, rather than focusing on what to read next.","I find the vertical orientation of passage 1 to be more helpful for my academic learning because it was easier to mentally organize and store the information I read. I did not have to spend time skimming through sections disjointed and connected by arrows, so I could better focus on understanding and retaining the information."
2,2001-04-20,Current undergraduate student,,White / Caucasian,Female,English,Neuroscience,1,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,4,0.4,64,After 1 Week,21,0.15,"Barn owls hunt from the sky, which requires them to have excellent hearing. These owls have excellent hearing in the azimuth (horizontal plane) and in elevation (vertical plane). Barn owls and humans can hear roughly the same in azimuth, but barn owls can hear three times better than humans in elevation. Barn owls have neurons that code for small, individual areas of space. Their most striking feature is their face and they have throughs longer than they are wide. Barn owls can pick up on small changes in sound while swooping down, so they are able to change the orientation of their talons to match the orientation of their prey.",10,1,12.191316666666667,Linear Text,Linear Text,"Passage one was easier to read because I could focus my mental energy on understanding the material, rather than trying to select which segment to read next.","While reading passage one, I was able to read the passage easier in the vertical direction because the story seemed to flow better. I am used to that format and it made it easier for me to summarize and categorize main ideas as I read."
3,2001-05-19,Current undergraduate student,University of Michigan,White / Caucasian,Female,English,Political Science and Government,0,Linear Text,The Hearing of the Barn Owl,ACT Natural Sciences,6,0.6,248,Immediately,33,0.2357142857142857,"The barn owl has the same level of azimuth as a human being, but excels better in the elevation department. The owl has one side of the ears longer than the other side, with the length being higher than the width. The troughs of the owl allows it to navigate its prey. better and identify them even if it were in a dark experimental room, as the owl turns its head to the location of the prey. The neurons in the owls brains help it navigate a horizontal  and vertical spacing, and creates a visual map of some sort of the spacing and distance. The owl uses this advantage (exploits it) to catch its prey more accurately and efficiently. Since the neurons work to detect sound, the barn owl has a thin layering of feathers around its ears to detect sound better and allow access to the brain. The most distinguished feature of the barn owl is its face that is both visually striking and advantageous to its hunting methods. Its small skull and the structure of the feathers allow it to be",10,1,39.63023333333333,Hybrid Map,Hybrid Map,"Passage 2 had a more sensible flow as it allowed the reader to read the conclusion and understand it by only going through a paragraph or two instead if the entirety of the passage. The second passage's usage of arrows or pointers dictated the flow of events and the thought process of the author more accurately. With the first paragraph, there were pieces of information that only added on to the general knowledge of the topic rather than the author's stance, and in contrast, the second passage illustrated which were the standalones and which were the paragraphs that added to the thesis ","Passage 2 allows one to distinguish the proper flow of information and accomplished that through a mind-map visualization that I, personally, prefer for memory recall. The choice of headers and their division through the space facilitated the process of organizing my thoughts about the topic, and permitted me to categorize the information into two categories : thesis-related and general information. "
3,2001-05-19,Current undergraduate student,University of Michigan,White / Caucasian,Female,English,Political Science and Government,0,Linear Text,The Hearing of the Barn Owl,ACT Natural Sciences,6,0.6,248,After 3 Days,26,0.18571428571428572,The barn owl has the aszithum of a human being but its elevation is higher than humans. It is known for its distinct face and small skull and has feathers that are very thin to allow sound waves to pass through. The owl navigates both the horizontal and vertical planes and is able to locate frequencies of animals and identify their positions even in a dark experimental room. It has one ear that is shorter than the other and its ear's length is higher than its width. The owl's neuron activity allow it to navigate and take advantage of its troughs to attack prey. ,8,0.8,12.8578,Hybrid Map,Hybrid Map,Because it was easier to navigate and presented a more natural flow ,The information and language used helped with the overall comprehension of the passage 
