Passage,Question Stem,Option 1,Option 2,Option 3,Option 4,Type
The Hearing of the Barn Owl,A barn owl must be able to locate sounds in the vertical dimension mainly because it hunts: ,from the air.,even when it can only partially see the animal it is hunting.  ,animals that move quickly.,while detecting sounds in both its right and left ears.,Inference
The Hearing of the Barn Owl,The author uses the expression “the azimuth of the sound” most nearly to refer to a sound’s:,fluctuation between high and low frequencies.,location in the horizontal dimension.,transformation into a map of space.,loudness and intensity.,memory
The Hearing of the Barn Owl,The word exploiting most nearly means:,imposing upon.,improving.,victimizing.,making use of.,Inference
The Hearing of the Barn Owl,Which of the following behaviors of a barn owl does the author provide as the strongest evidence of the bird’s ability to detect subtle changes in the origin of a sound?,locating sound originating from small prey.,catching prey in complete darkness.,realigning its talons as a mouse turns and runs.,swooping down on stationary prey.,Inference
The Hearing of the Barn Owl,The passage indicates that each neuron in the network of neurons in the barn owl’s midbrain is excited only by sounds:,from one particular species of animal.,from one small region of space.,falling within one specific frequency.,falling within one predictable timing pattern.,Inference
The Hearing of the Barn Owl,The author’s use of the word “deadly” most nearly serves to:,hint that the barn owl’s method of attack is sometimes harmful to the owl itself.,imply that the barn owl’s prowess as a hunter is both alarming and regrettable.,reiterate that the barn owl is feared by many animals for its ability to swiftly kill.,emphasize that the barn owl’s means of hunting is both remarkable and lethal.,Inference
The Hearing of the Barn Owl,The author directly states that which of the following features of the barn owl is the most visually striking? ,its aerodynamic flight.,its coloring.,its face.,its talons.,memory
The Hearing of the Barn Owl,"According to the passage, in terms of length and width, a barn owl’s troughs are:",wider than they are long.,longer than they are wide.,about as wide as they are long.,variable in terms of their relative length and width.,memory
The Hearing of the Barn Owl,The author most likely refers to the feathers that cover the barn owl’s facial structure as being “acoustically transparent” to emphasize that the feathers are:,shaped into two flaps that protect the owl’s ear openings.,arranged in several layers that allow sound to be amplified.,textured and dense enough to block unnecessary sensory stimuli.,fine enough to allow sound to pass through them unfiltered.,Inference
The Hearing of the Barn Owl,"Based on the passage, which of the following statements most accurately compares a human’s ability to locate the source of a sound in azimuth and elevation to the barn owl’s ability to do so?",the barn owl is about as accurate as a human in azimuth but is about three times more accurate in elevation.,the barn owl is about three times more accurate than a human in both azimuth and elevation.,the barn owl is about as accurate as a human in both azimuth and elevation.,the barn owl is about three times more accurate as a human in azimuth but is about as accurate in elevation.,memory
Managerial Decision Making,Which form of business/economic data does not provide useful information for forecasting?,Regression models,Queuing models,Inferential statistics,Time series models,Inference
Managerial Decision Making,"According to the passage, what is needed for numerical methods to characterize location and variability?",Calculation of sample statistics,Measures of association,Hypothesis testing,Significance level,memory
Managerial Decision Making,Which of the following is false regarding a test statistic?,A test statistic will have an implicit p-value,A test statistic depends on the size of the sample,A test statistic is bounded by the critical value,A test statistic can be used in a test with a significance level,Inference
Managerial Decision Making,Which is true regarding a linear relationship?,It could be a simple linear regression model,It can be seen in qualitative variables only,It could be a multiple linear regression model,It can be seen in quantitative variables only,memory
Managerial Decision Making,When are nonparametric techniques used in the normal distribution?,When populations do not follow the normal distribution,When populations follow the normal distribution,When estimates can be obtained from a sample,When estimates cannot be obtained from a sample,memory
Managerial Decision Making,What is true of an error term?,It can be evaluated through diagnostic tests,It has a systematic component of the regression equation,It can be used in forecasting the regression equation,It is an unsystematic component of the regression equation,memory
Managerial Decision Making,What is the relationship between diagnostic tests and an error term?,A regression equation is always a nonlinear equation,Diagnostic tests check for the randomness of an error term,Diagnostic tests provide estimates of an error term,A regression equation may consist of dummy variables,memory
Managerial Decision Making,What does differencing do?,It is a method for estimation of a stationary process,It defines a estimation model,It uses non-stationary processes to generate a stationary process,It provides forecasts that generate combined forecasts,memory
