UserIndex,postQ1Choice,explanation1,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestible,Easier memorization / Recall,Felt more natural,One page,Multiple pages
1,K,1. Can easily see keys words that are related to the question. 2. Shorter and concise,K,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Both,"In the first one, there was less flipping back and forth because each section had more information. In the second one, it was quicker to read and flowed better.",0,0,0,0,K,K,0,0,H,K,0,0,0,0,0,0,0,H,0
5,H,Lower cognitive load i.e. I was scrambling to get a sense of the situation and the arrows/flow markers made it difficult to piece information together.,0,0,0,H,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0
7,H,"Attention was spent trying to understand the flow of the chart for the first passage as opposed to the second, which appeared more straightforward.",0,0,H,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
9,H,Because there were more specific information about the topic than passage 1.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0
11,Both,"For quicker information such as definitions, connecting ideas, and so on I think the first one was much easier to read. For more detailed stories, ideas, and so on I think the second one was easier to read. So depending on the category I think both are great.",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0
13,H,The paragraph structure was easier to follow. Having more information in one place made it easier to navigate as well.,0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,0,H,0
15,K,"Passage 1 broke information down into very small pieces, while Passage 2 presented the information in chunks, rather than individual interrelated pieces.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0
17,H,"Passage 1 felt more like an outline than an actual passage because, while all the content and connections were there, it wasn't the easiest to understand from the get-go. Passage 2 was broken up enough that it was easy to read, and I didn't have to spend as much time understanding the format.",0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0
19,K,Smaller pieces of information spaced out with relationships listed was easier to scan and understand quickly.,0,0,0,0,0,K,0,0,0,0,0,0,K,K,0,0,0,0,0
21,H,Passage 2 was a lot easier to follow and understand. I felt like I would sometimes get lost in Passage 1 because of the amount of boxes and arrows. I felt like I learned and understood a lot more from Passage 2 than I did in Passage 1.,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0
23,H,I can find the information on one page in passage 2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0
25,K,"Passage 2 was a bit easier because it allowed you to go deeper into each part rather than having a big paragraph. However, both are difficult to read and follow.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0
27,K,,,,,,,,,,,,,,,,,,,,
31,H,"When I saw the question, i would form incomplete phrases in my head and try to find the fillers, representations in passage 2 was easier for me to gather pieces of information in attempt to fill in the blanks",0,0,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0
33,H,All of the information was laid out in one page and I didn't have to click between multiple pages. I could also read the information quicker and not jump around,0,0,0,0,H,0,0,0,H,0,0,0,0,0,0,0,0,H,0
