fullname,postQ2Choice-3Days,explanation2-3Days,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestable,Easier memorization / Recall,Felt more natural,One page,Multiple pages,Readability,Equal,Linearity,Initial learning of content,Final review of content,Higher test,Higher recall
2,K,I had a easy understanding because the title of the nodes shows what the text will speak about.,0,0,0,0,0,0,0,0,0,0,0,0,K,K,0,0,0,0,0,0,0,0,0,0,0,0
4,H,More organized; more information in each section made it easier to digest.,0,0,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0
6,H2 ,"I think that byte-sized information like in passage 1 would be of greater help if I have a moderate grasp over the concept. E.g. I struggled to make sense of some of the terminologies in passage 1 and had no clue on how to associate one part to another even with the presence of links. In passage 2 however, the context was free of background knowledge or jargons that would block me from making all of it into a cohesive story to bear in mind. If I was revising, I'd go with passage1, If I was learning, it would be passage2.",0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0
8,H,"Again, more straightforward and organized in a way that makes sense to me.",0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
10,K,It was more helpful because it seemed like a collection of important information.,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,K,"The format allows for memorable definitions, connecting ideas, and explanations for certain points.",0,0,0,0,0,0,0,0,0,K,0,0,K,0,0,K,0,0,0,0,0,0,0,0,0,0
14,Both,"Both formats gave me the information I needed and I was able to learn from both of them. Even if I found one easier to read, it was still easy to understand both.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0
16,K,"Since Passage 2 was so complicated, my written score ended up going down today, compared to my Passage 1 written score, which went slightly up today.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K
18,K,"I felt like I knew the facts from Passage 1 better than the facts from Passage 2. The multiple choice scores don't really illustrate that point, but the written response score do, especially considering I scored better for Passage 1 the second time around. I may have remembered that information better because I spent a lot longer with the passage, trying to figure out what I should be taking from it, but the subject matter of the first passage was also much more interesting to me than the second.",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K
20,Both,I think I would use each format depending on the stage I'm in for studying or depending on the material or topic and how well it lends itself to more granular sections.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,H,"Passage 1 seemed to give the bare bones of the article and not much explanation. I didn't feel like I understood why things that the article mentioned were happening. On the other hand, since Passage 2 was broken down into chunks of information that explained the topic of each chunk, I was able to learn a lot more. Thus, Passage 2 would be much more beneficial for my academic learning than Passage 1.",0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,H,"Although it looks less professional, it helps me to understand the whole structure better.",0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0,0
26,K,I believe it is the most helpful because it went into detail about many topics rather than having a large summary about one topic.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Both,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,H,"Passage 1 had the information broken up by topics, which made it easier to digest the topic. Passage 2 was more difficult because I needed to more thoroughly cognate on what the relationship graph was supposed to mean, and interpreting was a bit more difficult than the subject-by-subject approach.",0,0,0,0,0,0,0,0,0,H,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0
32,Both,the style of passage 1 helps when it come to studies that require deeply looking at relationships between the different subjects and answer very specific question that can be found directly in the graph. while passage 2 is easier for me to understand the full pictures of the context.,0,0,0,0,0,0,0,0,0,K,K,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,H,"I think passage 2's knowledge representation formats is most helpful for my academic learning because jumping around a concept web is distracting and makes it hard to focus on everything. In passage 2, I was able to remember things in each specific box whereas in passage 1, I remembers things in certain boxes but they had few words instead of full concepts.",0,0,0,H,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
36,H,"Judging by my test scores, they seem around equal for longer term memorization. However, passage 2 seems to have helped me learn more of the information than passage 1 did, judging by my overall scores for both the multiple choice section and the free response section.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,H,H
38,K,The ability to rapidly identify and expand upon individual pieces of information from a larger body can be very useful in initial research.,0,0,0,0,0,K,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0
40,Both,I think depending on the content one might be more useful than the other. I think passage 2 was sucessful at covering a lot of different suptopics while passage 1 really homed in on one main idea.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,K,"As a student, it's hard to make time to spend a long time reading paragraphs and try to really learn from them. I like having the information I read in smaller to digest pieces because it's a lot quicker and requires less mental energy. I also have limited time to read assignments for school, since I have a lot going on, so quicker is always better.",0,0,0,K,K,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
44,H,"Although it is more complicated then Passage 2's format, it provided more detail and better descriptions, which is better for me personally when I am learning something new.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0
46,H,"I feel like it was easier to recall information from the second passage rather than the first, and I can remember sentences better than associations like in the first passage.",0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
48,Both,"I still think that it really depends on what the ends goal is, if the end goal is to create flashcards to remind myself of what I already learned/read, and or make it easier for people to find the information they are specifically looking for, then paragraph 1 might be better. Otherwise, if the end goal is have a holistic understanding or learn thoroughly about a subject, then passage 2 is better.",0,0,0,0,0,0,0,0,0,0,K,H,0,0,0,0,0,0,0,0,0,0,0,K,0,0
50,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,H,The information was more linear and therefore easier to retain and make sense of.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,H,0,0,0,0
54,K,I think textbooks tend to have too much information crammed into one page and you get bored reading so much,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0
56,H,"This is a more traditional format, but its use of subtitles and summarization provides a very easy way to recall information. The way the information is placed helps with memorization. Since the information is labelled by a broader subtitle, one is able to go back effectively and locate the information more easily.",0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0
58,H,I think that that is the style I prefer naturally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0
60,H,It is easy to find information under a few descriptive headers rather than reading through a text document.,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
62,H,I understand passage 2 better and it is harder to focus on passage 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,H,"Because I could just read it straight and like I mentioned before, I didn't have to go back and forth",0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,H,The first passage was more helpful for learning because I was able to understand and remember it better.,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0
68,K,The second representation is helpful in my academic learning because even though each word from a larger reading was broken down it made it easier to process and understand. I was able to remember the answers without going back to the reading.,0,0,0,0,0,0,0,0,0,0,0,0,0,K,K,K,0,0,0,0,0,0,0,0,0,0
70,Both,"I think that the first approach has its own merits for specific circumstances, but overall the second could be a very useful tool for students more geared towards visual learning, as it presents the information in a unique way that illustrates the connectiosn between them",0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,K,I believe the second format is great for academic learning because it accommodates a wider audience of learning and information processing styles.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Both,"I think there are pros and cons to both formats. Format one was easier to navigate for me, since I didn't have to click on as many links to see the next section of information. Plus Passage 1 had complete sentences. However, when responding to multiple choice questions, it was easier to recall the short format of the presented information in Passage 2.",0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0
76,K,"I'm not good at academic writing. But in my belief, if there are enough time, the clear definition of the knowledge graph can help.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,H,"The main reason I chose the Jaws that Jump was simply the amount of content I had to learn about. While the paragraphs were large and cumbersome at times, it still made it easier to understand the information I was expected to learn and retain it for a longer time. More of the smaller details stuck with me, whereas in the other passage I found much of the important details slip thorugh the cracks.",0,0,0,0,0,0,0,0,0,0,H,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0
80,K,It kept me more easily engaged because it was not so taxing to read through. I could easily hunt for an answer to a question or explore a single topic of interest.,0,0,0,K,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,H,"It has content in each bubble; however, the information was not too long or too short. The information in passage 2 was too vague.",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
84,H,"It was clean, concise and easy to follow. I never lost attention and found the format easy to follow. It was all laid out for me and simple to read.",0,H,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0
86,H,"more detailed, #2 had multiple links and shorter bits of info, making it hard to remember for me",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,H,"There are less steps to get to the answer I am looking for, and the second passage, to get to the section that I am looking for, required some base knowledge to know where to look.",0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Both,"I think both are pretty good, the information is there and easy to take away, I learned more from passage one, but I think it might be because I thought it was more interesting. I think the second passage was easier to follow, but the first passage makes it sort of fun to go through and more interactive.",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,H,The first format would have been helpful if it wasn't different shapes and arrows all over the place but the second passage was more straight forward so my brain could focus better,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Both,"As previously explained, Passage 1 is useful when knowing exactly which subtopic you're looking for. Honestly would be best for studying/cramming. Passage 2 is easier for leisurely reading/learning.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,H,"We traditionally learn more in paragraphs, cutting up a sentence into individual words prevents depth filled learning and also is harder to remember less content, plus content is more easily grouped in the second method",0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,H,H,0,0,0,0,0,0,0,0,0
102,Both,"Passage 2 is simply easier for me to understand the whole context. On the other hand, passage 1 format would help me understand and remember few key concepts better than passage 1 since it is blocked down by smaller word chunks. It enables me to remember some repeated words from the passage.",0,0,0,0,0,0,0,0,0,0,0,Both,K,Both,0,K,0,0,0,0,0,0,0,0,0,0
