Passage,Key Phrase,Keyword 1,K1-1,K1-2,K1-3,K1-4,K1-5,K1-6,K1-7,K1-8,K1-9,K1-10,K1-11,K1-12,K1-13,K1-14,K1-15,K1-16,K1-17,K1-18,K1-19,K1-20,K1-21,K1-22,K1-23,Keyword 2,K2-1,K2-2,K2-3,K2-4,K2-5,K2-6,K2-7,K2-8,K2-9,K2-10,K2-11,K2-12,K2-13,K2-14,K2-15,K2-16,K2-17,K2-18,K2-19,K2-20,K2-21,K2-22,K2-23,K2-24,Keyword 3,K3-1,K3-2,K3-3,K3-4,K3-5,K3-6,K3-7,K3-8,K3-9,K3-10,K3-11,K3-12,K3-13,K3-14,K3-15,K3-16,K3-17,K3-18,K3-19,K3-20,K3-21,Keyword 4,K4-1,K4-2,K4-3,K4-4,K4-5,K4-6,K4-7,K4-8,K4-9,K4-10,K4-11,K4-12,K4-13,K4-14,K4-15,Keyword 5,K5-1,K5-2,K5-3,K5-4,K5-5,K5-6,K5-7,K5-8,K5-9,Keyword 6,K6-1,K6-2,K6-3,K6-4,K6-5,K6-6,K6-7,K6-8,K6-9,Keyword 7,K7-1,K7-2,K7-3,K7-4,K7-5,K7-6,K7-7,K7-8,K7-9,Keyword 8,K8-1,K8-2,K8-3,K8-4,K8-5,K8-6,K8-7,K8-8,K8-9,Keyword 9,K9-1,K9-2,K9-3,K9-4,K9-5,K9-6,K9-7,K9-8,K9-9,Keyword 10,K10-1,K10-2,K10-3,K10-4,K10-5,K10-6,K10-7,K10-8,K10-9,K10-10
The Hearing of the Barn Owl,Barn owls locate prey by having face structure,prey,mouse,mice,animal,game,creature,rodent,rat,organism,,,,,,,,,,,,,,,,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,,locat,hear,detect,find,identif,sens,found,hunt,spot,discover,chas,track,follow,stalk,,,,,,,,catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls locate prey by having sensitivity to differences in loudness,locat,hear,detect,find,identif,sens,found,hunt,spot,discover,chas,track,follow,stalk,,,catch,,,,,,,,prey,mouse,mice,animal,game,creature,rodent,rat,critter,,,,,,,,,,,,,,,,,differ,var,contrast,distinct,spectrum,compar,,,,,,,,,,,,,,,,,loud,volum,pitch,power,sound,noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,The face structure of barn owls improves sound location range,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,The face structure of barn owls contains two troughs,fac,head,crani,skull,,,,,,,,,,,,,,,,,,,,,two,2,double,twin,pair,,,,,,,,,,,,,,,,,,,,,trough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owls must organize and interpret sound information,organiz,arrang,sort,process,,,,,,,,,,,,,,,,,,,,,interpret,translat,comprehend,understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl's life depends on hearing,depend,life,rely,reli,need,requir,liv,,,,,,,,,,,,,,,,,,hear,listen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl is a nocturnal hunter,nocturnal,night,dark,light,,,,,,,,,,,,,,,,,,,,,locat,catch,detect,find,identif,sens,found,hunt,spot,discover,chas,track,follow,stalk,attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl must find field mice through rustling and squeaking sound,mouse,mice,rodent,rat,,,,,,,,,,,,,,,,,,,,,rustl,squeak,nois,sound,utter,cr,yel,squeak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl locate prey like field mice,mouse,mice,rodent,rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hearing of the Barn Owl,Barn owl must locate prey precisely in horizontal plane,horizon,azimuth,axis,dimension,plane,,,,,,,,,,,,,,,,,,,,precis,accura,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
